"Member","Fabric LATEST","Forge 1.12.2","Fabric 1.18.2","Forge 1.18.2"
"org.waveapi.api.misc.Side.isServer() -> boolean","✅","✅","✅","✅"
"org.waveapi.api.misc.Side.isClient() -> boolean","✅","✅","✅","✅"
"org.waveapi.api.WaveMod:ctor(java.lang.String, java.lang.String)","✅","✅","✅","✅"
"org.waveapi.api.WaveMod#init() -> void","✅","✅","✅","✅"
"org.waveapi.api.world.inventory.ItemStack#getName() -> java.lang.String","✅","✅","✅","✅"
"org.waveapi.api.world.inventory.ItemStack#getAmount() -> int","✅","✅","✅","✅"
"org.waveapi.api.world.inventory.ItemStack#setAmount(int) -> void","✅","✅","✅","✅"
"org.waveapi.api.content.items.WaveTab:ctor(java.lang.String, org.waveapi.api.content.items.WaveItem, org.waveapi.api.WaveMod)","✅","✅","✅","✅"
"org.waveapi.api.content.items.WaveTab:ctor(java.lang.String, java.lang.String, org.waveapi.api.WaveMod)","✅","✅","✅","✅"
"org.waveapi.api.content.items.WaveTab#addTranslation(java.lang.String, java.lang.String) -> org.waveapi.api.content.items.WaveTab","✅","✅","✅","✅"
"org.waveapi.api.content.items.models.SimpleItemModel:ctor(java.lang.String)","✅","✅","✅","✅"
"org.waveapi.api.content.items.WaveItem:ctor(java.lang.String, org.waveapi.api.WaveMod)","✅","✅","✅","✅"
"org.waveapi.api.content.items.WaveItem#getId() -> java.lang.String","✅","✅","✅","✅"
"org.waveapi.api.content.items.WaveItem#setModel(org.waveapi.api.content.items.models.ItemModel) -> org.waveapi.api.content.items.WaveItem","✅","✅","✅","✅"
"org.waveapi.api.content.items.WaveItem#setTab(org.waveapi.api.content.items.WaveTab) -> org.waveapi.api.content.items.WaveItem","✅","✅","✅","✅"
"org.waveapi.api.content.items.WaveItem#addTranslation(java.lang.String, java.lang.String) -> org.waveapi.api.content.items.WaveItem","✅","✅","✅","✅"
"org.waveapi.api.content.items.WaveItem#setMaxStackSize(int) -> org.waveapi.api.content.items.WaveItem","✅","✅","✅","✅"
"org.waveapi.api.WaveLoader.register(org.waveapi.api.WaveMod) -> void","✅","✅","✅","✅"
"org.waveapi.api.Logger:ctor(org.waveapi.api.WaveMod)","✅","❌","✅","✅"
"org.waveapi.api.Logger#log(java.lang.String) -> void","✅","❌","✅","✅"
"org.waveapi.api.world.entity.living.EntityLiving#getHealth() -> float","✅","❌","✅","✅"
"org.waveapi.api.world.entity.living.EntityLiving#setHealth(float) -> void","✅","❌","✅","✅"
"org.waveapi.api.world.entity.living.EntityLiving#getMaxHealth() -> float","✅","❌","✅","✅"
"org.waveapi.api.world.entity.living.EntityLiving#getHeadYaw() -> float","✅","❌","✅","✅"
"org.waveapi.api.world.entity.EntityBase#isAlive() -> boolean","✅","❌","✅","✅"
"org.waveapi.api.world.entity.EntityBase#getYaw() -> float","✅","❌","✅","✅"
"org.waveapi.api.world.entity.EntityBase#getPitch() -> float","✅","❌","✅","✅"
"org.waveapi.api.world.entity.EntityBase#setVelocity(org.waveapi.api.math.Vector3) -> void","✅","❌","✅","✅"
"org.waveapi.api.world.entity.DamageSource.GENERIC -> org.waveapi.api.world.entity.DamageSource","✅","❌","✅","✅"
"org.waveapi.api.world.entity.DamageSource.LAVA -> org.waveapi.api.world.entity.DamageSource","✅","❌","✅","✅"
"org.waveapi.api.world.entity.DamageSource.IN_FIRE -> org.waveapi.api.world.entity.DamageSource","✅","❌","✅","✅"
